Year (CE),Vance22,Porter21,Linsley08,Godkin21,Buckley19
1033,0.950347658,,,,
1034,1.24760482,,,,
1035,1.200973739,,,,
1036,0.997483943,,,,
1037,0.804909914,,,,
1038,0.571841714,,,,
1039,-0.074802271,,,,
1040,-0.182401551,,,,
1041,-0.302991333,,,,
1042,-0.301335859,,,,
1043,-0.304978462,,,,
1044,-0.347816704,,,,
1045,-0.396250902,,,,
1046,-0.482922452,,,,
1047,-0.546346004,,,,
1048,-0.587889806,,,,
1049,-0.639859495,,,,
1050,-0.674295046,,,,
1051,-0.689084007,,,,
1052,-0.692396545,,,,
1053,-0.174022904,,,,
1054,-0.07626027,,,,
1055,-0.026026442,,,,
1056,0.061100364,,,,
1057,0.126085491,,,,
1058,0.126051873,,,,
1059,0.126718126,,,,
1060,0.092773885,,,,
1061,0.029309125,,,,
1062,-0.032279356,,,,
1063,-0.098738967,,,,
1064,-0.146281985,,,,
1065,-0.153170893,,,,
1066,-0.107421277,,,,
1067,-0.039785997,,,,
1068,-0.347909035,,,,
1069,-0.152718247,,,,
1070,0.073232688,,,,
1071,0.326665777,,,,
1072,1.032743037,,,,
1073,1.322617487,,,,
1074,1.372989933,,,,
1075,0.897086504,,,,
1076,0.44299357,,,,
1077,0.209764637,,,,
1078,0.139288022,,,,
1079,0.074936417,,,,
1080,0.027471973,,,,
1081,-0.001556225,,,,
1082,-0.023257676,,,,
1083,-0.042260087,,,,
1084,-0.056903549,,,,
1085,-0.024075891,,,,
1086,0.027036028,,,,
1087,0.088278765,,,,
1088,0.194583676,,,,
1089,0.303816685,,,,
1090,0.405907072,,,,
1091,0.148132117,,,,
1092,0.365190155,,,,
1093,0.495581324,,,,
1094,0.516366532,,,,
1095,0.457656052,,,,
1096,0.317100225,,,,
1097,0.127604202,,,,
1098,0.401919484,,,,
1099,0.347239435,,,,
1100,0.282562162,,,,
1101,0.397794192,,,,
1102,0.665346609,,,,
1103,1.028290322,,,,
1104,1.401275179,,,,
1105,1.281398962,,,,
1106,1.135013847,,,,
1107,0.548768735,,,,
1108,0.611437967,,,,
1109,0.69818379,,,,
1110,0.812096828,,,,
1111,0.938759174,,,,
1112,1.086041458,,,,
1113,1.209174947,,,,
1114,1.275165795,,,,
1115,1.253533287,,,,
1116,1.192490962,,,,
1117,1.562801579,,,,
1118,1.470861378,,,,
1119,1.363262498,,,,
